version,size_test,size_training,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ
CM1,344,6314,0,0,0,0,0.6831395348837209,0.9523809523809523,0.14652014652014653,0.253968253968254,0.36854052610495386,0.14630352802360458,0.5904288867865026,0.0,0.9523809523809523,0.22847682119205298,40.0,2.0,69.0,233.0,0,0,0,0,0.8255813953488372,0.9523809523809523,0.12422360248447205,0.21978021978021978,0.1238390092879257,0.02489686188285263,0.5093030589719332,0.0,0.9523809523809523,0.06622516556291391,40.0,2.0,20.0,282.0
JM1,9593,2880,0,0,0,0,0.6651725216303555,0.9260943718021604,0.2067258883248731,0.33800186741363214,0.33175006205743274,0.129492060381795,0.5640811404581392,0.0,0.9260943718021604,0.20206790911411796,1629.0,130.0,1583.0,6251.0,0,0,0,0,0.5100594183258627,0.8209209778283115,0.23978744603121888,0.37116051921346876,0.5518514519120167,0.1893535735500139,0.6182725900119347,0.0,0.8209209778283115,0.41562420219555785,1444.0,315.0,3256.0,4578.0
KC1,2096,5676,0,0,0,1,0.24856870229007633,0.6369230769230769,0.33934426229508197,0.44278074866310163,0.6981682624565919,0.3262049558390643,0.7046840116405334,0.0,0.6369230769230769,0.7724449463579899,207.0,118.0,1368.0,403.0,0,0,0,1,0.3687977099236641,0.7446153846153846,0.259656652360515,0.3850437549721559,0.6708543454540092,0.2585836006363518,0.6775024975024975,0.0,0.7446153846153846,0.6103896103896104,242.0,83.0,1081.0,690.0
KC3,200,5676,0,0,0,0,0.64,0.9722222222222222,0.21604938271604937,0.35353535353535354,0.36623303167420806,0.1937404761655606,0.5989159891598916,0.0,0.9722222222222222,0.22560975609756098,35.0,1.0,37.0,127.0,0,0,0,0,0.775,0.9444444444444444,0.18181818181818182,0.30493273542600896,0.12525117213663756,0.01794912404209105,0.5057588075880759,0.0,0.9444444444444444,0.06707317073170732,34.0,2.0,11.0,153.0
MC1,9277,6174,0,0,1,1,0.15015630052818799,0.8235294117647058,0.03897007654836465,0.07441860465116279,0.8365737666124685,0.15880177361901185,0.8367837090314462,0.0,0.8235294117647058,0.8500380062981866,56.0,12.0,7828.0,1381.0,0,0,1,1,0.2997736337177967,0.9117647058823529,0.021854071201973916,0.04268502581755594,0.7911152538003113,0.11301166899955976,0.805214527987327,0.0,0.9117647058823529,0.698664350092301,62.0,6.0,6434.0,2775.0
MC2,127,6174,0,0,0,0,0.4566929133858268,0.8863636363636364,0.42391304347826086,0.5735294117647058,0.5134957208689929,0.2639096428304421,0.6239047097480832,0.0,0.8863636363636364,0.3614457831325301,39.0,5.0,30.0,53.0,0,0,0,0,0.5275590551181102,0.9318181818181818,0.3904761904761905,0.5503355704697986,0.36753951403632923,0.20210019235590249,0.5803669222343921,0.0,0.9318181818181818,0.2289156626506024,41.0,3.0,19.0,64.0
MW1,264,6344,0,0,0,0,0.6666666666666666,0.9629629629629629,0.12935323383084577,0.22807017543859648,0.4114344053088311,0.15963657800730122,0.6122831692451945,0.0,0.9629629629629629,0.2616033755274262,26.0,1.0,62.0,175.0,0,0,0,0,0.6174242424242424,0.8518518518518519,0.12637362637362637,0.22009569377990432,0.47479158396188964,0.1184976899597733,0.5904828879512424,0.0,0.8518518518518519,0.3291139240506329,23.0,4.0,78.0,159.0
PC1,759,4602,0,0,0,0,0.5942028985507246,0.9508196721311475,0.11462450592885376,0.20458553791887127,0.5203287042021028,0.17819508331225414,0.6544929306214476,0.0,0.9508196721311475,0.35816618911174786,58.0,3.0,250.0,448.0,0,0,0,0,0.919631093544137,1.0,0.08036890645586298,0.14878048780487804,0.0,NaN,0.5,0.0,1.0,0.0,61.0,0.0,0.0,698.0
PC2,1585,4602,0,0,1,1,0.3331230283911672,0.9375,0.027675276752767528,0.053763440860215055,0.7774765588081678,0.1267797706533925,0.8008086360739325,0.0,0.9375,0.6641172721478649,15.0,1.0,1042.0,527.0,0,0,0,0,0.9899053627760253,1.0,0.010094637223974764,0.01998750780762024,0.0,NaN,0.5,0.0,1.0,0.0,16.0,0.0,0.0,1569.0
PC3,1125,4602,0,0,0,0,0.5244444444444445,0.9142857142857143,0.1813031161473088,0.3026004728132388,0.5691685786081067,0.22359518043587026,0.6637418419144308,0.0,0.9142857142857143,0.4131979695431472,128.0,12.0,407.0,578.0,0,0,0,0,0.8755555555555555,1.0,0.12444444444444444,0.22134387351778656,0.0,NaN,0.5,0.0,1.0,0.0,140.0,0.0,0.0,985.0
PC4,1399,4602,0,0,0,1,0.42887776983559683,0.7303370786516854,0.1906158357771261,0.3023255813953488,0.6261068636344003,0.1855022139732684,0.6391243132816167,0.0,0.7303370786516854,0.547911547911548,130.0,48.0,669.0,552.0,0,0,0,0,0.8727662616154396,1.0,0.1272337383845604,0.22574508560558024,0.0,NaN,0.5,0.0,1.0,0.0,178.0,0.0,0.0,1221.0
PC5,17001,4602,0,0,1,1,0.05270278218928298,0.7495029821073559,0.32868352223190933,0.456969696969697,0.8392166686835191,0.47478742059919815,0.8514153290946526,0.0,0.7495029821073559,0.9533276760819493,377.0,126.0,15728.0,770.0,0,0,0,0,0.970413505087936,1.0,0.029586494912063995,0.057472577696526514,0.0,NaN,0.5,0.0,1.0,0.0,503.0,0.0,0.0,16498.0
